modelId,layer,feature,description,explanationModelName,typeName
gemma-2-2b,13-gemmascope-res-16k,6841, references to cars,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,353,closing braces in code snippets,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,7106, time-related phrases and concepts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,10, ingredients and measurements typically used in cooking recipes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,15, references to floating-point data types and parameters,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,46, technical terms and measurements related to engineering or design,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,57, scientific terminology related to medical studies and evaluations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,67,terms related to processes and mechanisms in scientific or technical contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,78,mentions of social or cultural contextual markers and transformations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,107,information related to numerical values and measurements,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,113,technical terms and concepts related to engineering and science,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,120," occurrences of the term ""sender"" in various contexts related to event handling",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,132, specific identifier strings within a dataset or structured format,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,145," references to ""short"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,153, references to traffic-related issues and road construction,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,156,"instances of the word ""some"" and its variations in different contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,169, terms related to ecological systems and their functions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,172, email addresses and associated names,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,183, keywords related to timing and conditions in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,192,references to personal experiences and stories,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,204,references to articles or papers in a scholarly context,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,212,terms associated with medical conditions and their characteristics,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,221,words related to the capability or potential of various concepts or entities,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,246, references to database entity identifiers and their properties in code documentation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,243, phrases related to coordination and organizational dynamics in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,261, phrases indicating political negotiations or treaties,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,268,references to mathematical or scientific functions and their properties,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,283, references to isolation and constitutional issues,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,286," occurrences of code structure elements, such as arrays and objects",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,302,elements related to programming constructs and operations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,311,key concepts related to primary importance and challenges in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,320,references to online educational assistance,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,332,terms related to credit and financial transactions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,341, references to awards and nominations in the film industry,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,357,numbers and their relationships within statistical or mathematical contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,366," the pronoun ""you"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,375,specific identifiers or codes relating to digital files or data entries,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,381,emphasis on significance or importance in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,403,sequences of characters typically used in programming code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,418,data validation and attributes in code snippets,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,423, coding patterns related to memory allocation and logging functions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,465,terminology related to engineering and technical processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,472, entities related to organizations and positions within organizational structures,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,495,references to female individuals,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,509, references to pronouns and related structures in sentences,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,520,symbols and identifiers in programming code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,522,legal terminology related to denial or rejection,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,534, conjunctions and subordinating conjunctions in compound sentences,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,548,data related to financial statistics and trends from previous years,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,549, terms and concepts related to insurance,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,554, tokens or terms related to programming concepts and data structure elements,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,560,terms related to scientific or analytical processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,596, html comment tags,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,607, references to applications and their configurations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,632, numerical data and significant symbols in statistical contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,644,instances of support and collaboration among individuals and groups,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,657,references to locations in brazil,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,660, expressions related to approval and consent processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,666, the presence of numerical data and related annotations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,687,the presence of markup or structural commands in documents,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,698,programmatic constructs and data structures within code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,703, phrases related to hierarchical structures and organizational categories,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,713, monetary values and financial figures,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,739, labels and markers used in scientific or mathematical notation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,750, expressions of certainty or assurance,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,763,java method definitions and access modifiers,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,773, references to document structure and organization,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,791,"specific names, terms, and concepts related to medical conditions and treatments",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,798,words and phrases associated with political power dynamics and governance,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,804, technical terminology related to materials and manufacturing processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,810, punctuation marks and symbols,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,823," phrases that modify or specify sequences or paths, often denoted by the word ""along""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,830, references to programming functions and methods,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,851,references to medical and health-related concepts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,870,terms indicating a high level of quality or appreciation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,887,quotation marks and dialogue formatting,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,892,references to sources and reporting in news or information contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,894,phrases indicating efficiency and effectiveness in processes or operations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,907, code structures and syntax elements used in programming,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,934,mentions of the company apple and its products,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,952,references to android support libraries and versions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,963, programming constructs and data structures in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,975,"specific terms related to classification and analysis within various contexts, particularly in scientific and economic discussions",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,988, technical parameters or specifications related to code or programming,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,1005, mathematical expressions and operations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,13-gemmascope-res-16k,1034,"elements or references associated with specific names, terms, or titles in various contexts",gpt-4o-mini,oai_token-act-pair
