modelId,layer,feature,description,explanationModelName,typeName
gemma-2-2b,4-gemmascope-res-16k,332,comment blocks in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,10393, method definitions in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,13464," titles of books and resources related to healthcare, technology, and women's issues",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,9239,phrases indicating relationships or connections between different concepts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,9234,notations and comment syntax in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,9402, expressions and conditions related to mathematical definitions and properties,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,9640, references to faculty and educational contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,10138, structuring symbols and mathematical notation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,10302,"elements of programming language syntax and structure, particularly related to data types and function declarations",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,10372, references to habits and their implications,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,10456, statements indicating false conditions or invalid scenarios,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,10605,specific syntax and structure associated with programming languages,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,10607,urls and file paths,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,10682,"mathematical symbols, equations, and relationships in expressions",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,10934, instances of the underscore character followed by a word or expression indicating a variable or method in programming contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,11178,specialized syntax elements in programming code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,11269,quote marks and escape characters,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,11389, indicators of numerical values or calculations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,11384,mathematical symbols and expressions related to inequalities,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,11454, terms related to data management and permissions in applications,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,11751,percentages and statistical data,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,11772,references to various types of goods and merchandise,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,11809,specific terms related to debt and finance,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,11913," occurrences of the word ""you"" and expressions of gratitude",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,11955,conditional phrases or clauses that imply dependence on certain conditions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12006, comparisons or assertions about equality in programming contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12005,conditional statements in programming code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12152,references to geographical locations and their associated attributes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12354,phrases and structures related to possession or ownership,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12383,"references to leadership, especially in the context of management styles and their impact on perceptions and factors affecting leadership",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12944,escaped newline characters,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,13333,"phrases emphasizing the word ""such.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,13655,"the word ""that.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,13763,elements related to data structures and device management in programming contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,13991,statistical terms and methods commonly used in data analysis,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,14093,structured expressions related to conditions and methods of implementation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,14643,keywords related to assembly and disassembly processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,14913,references to physical objects and their interactions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,14920, statements and assumptions in a mathematical context,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,14991, code related to module exports,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,15080,references to voices or voice-related concepts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,15135,html table elements,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,15897,documentation editing actions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,15918, terms related to frequency and clock rates in electronic devices,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,15943,various structured patterns and syntax related to regular expressions and programming constructs,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,15954,"references to figures, tables, and detailed descriptions in scientific documents",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,16036, html or xml closing tags,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,16232, patterns and structures in text involving numerical or tabular data,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,16370,string literals within a json structure,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,16381,terms related to filtering and processing data,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,16383,"punctuation marks, particularly commas and periods, indicating pauses or separations in thoughts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,14318, xml or html tag endings,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,9649,proximity-related expressions and sentiments,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,9645, mathematical symbols and notation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,9644, references to households and their characteristics,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,9643,terms related to investors and investment,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12100, references to the operating system in the code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12101,"the term ""non"" in various contexts indicating negation or absence",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12103, specific numbered items or bullet points in a list,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12106,"instances of the word ""circle"" and its variations in context",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12120,references to dogs,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12107,references to extensive or detailed information,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12108,descriptive terms related to cultural and architectural features,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12109,patterns involving numerical values and arithmetic operations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12128,terms related to insurance policies and providers,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12129,mathematical expressions involving square roots and their simplification,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12104,indications of code structure or programming elements,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12105,words or phrases related to problems and tension in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12102, references to android activity and fragment lifecycle components,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,4, java annotations and entities related to persistence in an object-relational mapping context,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,1,references to amazon services and related technical terms,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,5,"mechanical components and their movements, particularly related to rotation and gears",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,7,proper nouns and names,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,6,"instances of the word ""otherwise"" and its variations, indicating alternative conditions or scenarios",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,0, error handling terms and constructs in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,2,programming constructs and function definitions in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,9, patterns of dependency between clauses and their specific contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,8," punctuation marks, specifically semicolons and closing parentheses",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,13,legal terms related to denial or refusal in court decisions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,12,references to libraries and their roles in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,16,references to specific dates and temporal markers,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,15,terms related to eyes and visual systems,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,17,code structures and error handling syntax in programming,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,19, various forms of mouse click actions and commands,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,11,structured data elements related to personal and professional profiles,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,14,"references to notable individuals, particularly those who have passed away or are esteemed",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,10,details related to birthdates and personal identification information,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,18,"specific numeric, date, and video references in documents",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,25,mentions of personal memoirs and autobiographical works,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,23,elements related to programming and user interface components,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,21,versioning information for software or packages,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,24,punctuation marks,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,22, terms related to construction,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,20,elements of code or script sequences typically used in programming or markup languages,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,28,components and processes related to diodes and operational amplifiers,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,27," specific names and identifiers, likely associated with legal or official contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,29, html and jsx elements related to layout and structure,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,26,names of places and geographic features,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,31, code-related syntax and structures,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,30, elements or components related to item handling in a coding context,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,39,"references to various types of alcoholic beverages, especially wine",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,38, information related to personal details and characteristics of individuals,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,37,names of individuals and organizations involved in legal and judicial contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,32, references to visual perception or sight-related expressions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,35, phrases related to importance and support in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,33,"references to organizations, locations, and various entities within political or legal contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,36, hashtags and comments in programming or markup code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,34, references to confirmation and agreement in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,40,references to modules and their identifiers within programming context,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,41,"terms related to clarity, applicability, and validation of information",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,43,dates and numerical information related to historical events,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,44,terms related to scientific research and evidence,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,42,various types of soups and their ingredients,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,48,annotations or decorators in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,47, references to the color blue,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,45,technical terms and references related to the mac operating system and its installation processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,46,"phrases indicating relationships between individuals, particularly family and legal ties",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,49, java-related class and package references,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,56,technical terms and code elements related to programming and data processing,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,59,terms related to body mass index and obesity,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,54,sql query structures and logical conditions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,53,calls to sql functions and statements related to database interactions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,52,terms related to measurements and specifications,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,50,"references to the word ""created"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,51,references to climate change and its implications,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,55," instances of the keyword ""break"" in programming contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,58, phrases related to numerical values and statistics,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,57,scientific terminology related to experimental physics and simulations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,61,phrases that denote processes or methods of obtaining results or measurements,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,62,syntax elements in programming language templates and declarations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,60,references to elements in various contexts or categories,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,69, symbols and punctuation marks,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,68,"references to specific time frames, particularly weeks",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,63,references to titles in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,65,references to user experience and feedback in the context of programming or technical discussions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,66,numerical references related to scientific literature and publications,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,64, references to specific locations or states of being,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,67,terms that indicate certainty or probability,gpt-4o-mini,oai_token-act-pair
